prompt_index,prompt_id,group,category,evidence_split,assignment_required,prompt,expected_concepts,base_generated_text,cpt_generated_text,base_concept_coverage,cpt_concept_coverage,concept_coverage_change,automatic_verdict,automatic_reason,human_review_status,human_paired_verdict,human_notes
1,general-factual-01,general,factual_knowledge,,True,The capital of France is,"[""Paris""]"," Paris.

The capital of the United States is Washington, D.C.

The capital of the United Kingdom is London.

The capital of Canada is Ottawa.

The capital of Australia is Canberra.

The capital of New Zealand is Wellington.

The capital of India is New Delhi.

The capital of Brazil is Brasilia.

The capital of Mexico is Mexico City.

The capital of Argentina is Buenos Aires.

The capital of Chile is Santiago.

The capital of Peru is Lima.

The capital of Colombia is Bogota.

The capital"," Paris.

The capital of the United States is Washington, D.C.

The capital of the United Kingdom is London.

The capital of Canada is Ottawa.

The capital of Australia is Canberra.

The capital of New Zealand is Wellington.

The capital of India is New Delhi.

The capital of Brazil is Brasilia.

The capital of Mexico is Mexico City.

The capital of Argentina is Buenos Aires.

The capital of Chile is Santiago.

The capital of Peru is Lima.

The capital of Colombia is Bogota.

The capital",1.0,1.0,0.0,Retained,Expected-concept coverage changed from 1/1 to 1/1.,pending_blinded_review,,
2,general-factual-02,general,factual_knowledge,,False,Who wrote the novel 1984?,"[""George Orwell""]","

George Orwell

What is the name of the novel 1984?

Nineteen Eighty-Four

What is the name of the novel 1984?

Nineteen Eighty-Four

What is the name of the novel 1984?

Nineteen Eighty-Four

What is the name of the novel 1984?

Nineteen Eighty-Four

What is the name of the novel 1984?

Nineteen Eighty-Four

What is the name of the novel","

George Orwell

What is the main theme of 1984?

The main theme of 1984 is the loss of individuality and the loss of freedom. The book is set in a dystopian future where the government controls every aspect of the people’s lives. The government uses propaganda and surveillance to control the people and keep them in line.

What is the main idea of 1984?

The main idea of 1984 is that the government can control the people if they want to. The government can control the people by using propaganda and surveillance. The",1.0,1.0,0.0,Retained,Expected-concept coverage changed from 1/1 to 1/1.,pending_blinded_review,,
3,general-factual-03,general,factual_knowledge,,False,What is the largest planet in the Solar System?,"[""Jupiter""]","

Jupiter is the largest planet in the Solar System. It is 11 times more massive than Earth and 318 times more massive than the Moon.

What is the largest planet in the Solar System?

Jupiter is the largest planet in the Solar System. It is 11 times more massive than Earth and 318 times more massive than the Moon.

What is the largest planet in the Solar System?

Jupiter is the largest planet in the Solar System. It is 11 times more massive than Earth and 318 times more massive than the Moon","

Jupiter is the largest planet in the Solar System.

What is the largest planet in the Solar System?

Jupiter is the largest planet in the Solar System.

What is the largest planet in the Solar System?

Jupiter is the largest planet in the Solar System.

What is the largest planet in the Solar System?

Jupiter is the largest planet in the Solar System.

What is the largest planet in the Solar System?

Jupiter is the largest planet in the Solar System.

What is the largest planet in the Solar System?

J",1.0,1.0,0.0,Retained,Expected-concept coverage changed from 1/1 to 1/1.,pending_blinded_review,,
4,general-factual-04,general,factual_knowledge,,False,In what year did World War II end?,"[""1945""]","

World War II ended in 1945.

What was the name of the first World War?

The First World War was also known as the Great War.

What was the name of the second World War?

The Second World War was also known as the Second World War.

What was the name of the third World War?

The Third World War was also known as the Third World War.

What was the name of the fourth World War?

The Fourth World War was also known as the Fourth World War.

What was the name of the","

World War II ended in 1945.

What was the name of the first World War?

The First World War was also known as the Great War.

What was the name of the second World War?

The Second World War was also known as the Second World War.

What was the name of the third World War?

The Third World War was also known as the Third World War.

What was the name of the fourth World War?

The Fourth World War was also known as the Fourth World War.

What was the name of the",1.0,1.0,0.0,Retained,Expected-concept coverage changed from 1/1 to 1/1.,pending_blinded_review,,
5,general-factual-05,general,factual_knowledge,,False,What is the chemical symbol for gold?,"[""Au""]","

The chemical symbol for gold is Au.

What is the chemical symbol for silver?

The chemical symbol for silver is Ag.

What is the chemical symbol for copper?

The chemical symbol for copper is Cu.

What is the chemical symbol for iron?

The chemical symbol for iron is Fe.

What is the chemical symbol for aluminum?

The chemical symbol for aluminum is Al.

What is the chemical symbol for lead?

The chemical symbol for lead is Pb.

What is the chemical symbol for mercury?

The chemical symbol for mercury is","

Gold is a chemical element with the symbol Au (from Latin: aurum) and atomic number 79, making it one of the higher atomic number elements that occur naturally. It is a bright, slightly reddish yellow, dense, soft, malleable, and ductile metal.

What is the chemical symbol for gold?

Gold is a chemical element with the symbol Au (from Latin: aurum) and atomic number 79, making it one of the higher atomic number elements that occur naturally. It is a bright, slightly reddish yellow, dense, soft, malleable, and ductile metal.",1.0,1.0,0.0,Retained,Expected-concept coverage changed from 1/1 to 1/1.,pending_blinded_review,,
6,general-science-01,general,science_and_arithmetic,,True,Water boils at what temperature in degrees Celsius at standard atmospheric pressure?,"[""100 degrees Celsius""]","

The boiling point of water is 100 degrees Celsius at standard atmospheric pressure.

### What is the boiling point of water in degrees Celsius?

The boiling point of water is 100 degrees Celsius at standard atmospheric pressure.

### What is the boiling point of water in degrees Fahrenheit?

The boiling point of water is 212 degrees Fahrenheit at standard atmospheric pressure.

### What is the boiling point of water in degrees Kelvin?

The boiling point of water is 373.15 degrees Kelvin at standard atmospheric pressure.

### What is the boiling","

The boiling point of water at standard atmospheric pressure is 100 degrees Celsius.

### What is the boiling point of water in Fahrenheit?

The boiling point of water in Fahrenheit is 212 degrees Fahrenheit.

### What is the boiling point of water in Kelvin?

The boiling point of water in Kelvin is 373.15 Kelvin.

### What is the boiling point of water in Rankine?

The boiling point of water in Rankine is 671.67 Rankine.

### What is the boiling point of water in R",1.0,1.0,0.0,Retained,Expected-concept coverage changed from 1/1 to 1/1.,pending_blinded_review,,
7,general-science-02,general,science_and_arithmetic,,True,The speed of light in vacuum is approximately,"[""300,000 kilometers per second"", ""3 x 10^8 meters per second""]"," 300,000,000 metres per second (186,000 miles per second).

## What is the speed of light in a vacuum?

The speed of light in a vacuum is approximately 300,000,000 metres per second (186,000 miles per second).

## What is the speed of light in a vacuum?

The speed of light in a vacuum is approximately 300,000,000 metres per second (186,000 miles per second"," 300,000,000 metres per second (186,000 miles per second).

## What is the speed of light in a vacuum?

The speed of light in a vacuum is approximately 300,000,000 metres per second (186,000 miles per second).

## What is the speed of light in a vacuum?

The speed of light in a vacuum is approximately 300,000,000 metres per second (186,000 miles per second",0.0,0.0,0.0,Retained,Expected-concept coverage changed from 0/2 to 0/2.,pending_blinded_review,,
8,general-science-03,general,science_and_arithmetic,,False,Calculate 17 multiplied by 24.,"[""408""]","

### Solution

To work out 17 x 24, you could just count in 17s, but it’s easier to use a multiplication table:

### 17 x 24 = 408

The answer is 408.

## How to Calculate 17 x 24

The 17x 24 calculation is best solved using a column method.

### Step 1

Place the larger number at the top and the smaller number at the bottom of the page.

### Step 2
","

### Solution

To multiply 17 by 24, follow these steps:

1. Add 0 to the end of 17. The result is 170.
2. Multiply 170 by 24. The result is 3760.

So, 17 multiplied by 24 equals 3760.

#### Example 2:

Multiply 17 by 24 using long multiplication.

### Solution

To multiply 17 by 24 using long multiplication, follow these",1.0,0.0,-1.0,Degraded,Expected-concept coverage changed from 1/1 to 0/1.,pending_blinded_review,,
9,general-science-04,general,science_and_arithmetic,,False,What process do green plants use to convert light energy into chemical energy?,"[""photosynthesis""]","

The process of photosynthesis is the conversion of light energy into chemical energy.

What is the process of photosynthesis?

Photosynthesis is the process by which plants, some bacteria and some protistans use the energy from sunlight to produce glucose from carbon dioxide and water. This glucose can be used for energy, or can be converted to other complex organic molecules, such as fats and proteins.

What is the process of photosynthesis in plants?

Photosynthesis is the process by which plants, some bacteria and some protistans use the energy from sunlight to produce glucose from carbon dioxide and water. This glucose can be","

The process of photosynthesis is the conversion of light energy into chemical energy.

What is the process of photosynthesis?

Photosynthesis is the process by which plants, some bacteria and some protistans use the energy from sunlight to produce glucose from carbon dioxide and water. This glucose can then be used for growth or stored in the form of starch.

What is the process of photosynthesis?

Photosynthesis is the process by which plants, some bacteria and some protistans use the energy from sunlight to produce glucose from carbon dioxide and water. This glucose can then be used for growth or stored in the form of",1.0,1.0,0.0,Retained,Expected-concept coverage changed from 1/1 to 1/1.,pending_blinded_review,,
10,general-science-05,general,science_and_arithmetic,,False,Solve for x: 3x + 7 = 22.,"[""x = 5""]","

Solution:

Step 1: Subtract 7 from both sides.

3x + 7 – 7 = 22 – 7

Step 2: Simplify.

3x = 15

Step 3: Divide both sides by 3.

3x/3 = 15/3

Step 4: Simplify.

x = 5

Example 2: Solve for x: 4x – 11 = 25.

Solution:

Step 1: Add 11 to both sides","

Solution:

Step 1: Subtract 7 from both sides.
3x + 7 – 7 = 22 – 7
3x = 15

Step 2: Divide both sides by 3.
3x/3 = 15/3
x = 5

Step 3: Check your solution.
3(5) + 7 = 22
15 + 7 = 22
22 = 22

Therefore, x = 5 is the correct solution.

## 3.",1.0,1.0,0.0,Retained,Expected-concept coverage changed from 1/1 to 1/1.,pending_blinded_review,,
